Unnamed: 0,Price,Address,Surface,chambres,toilettes,Surface_per_room,Year_of_Construction,State
450,2635000,Iberie,155,3,2,51.66666667,construction neuve,Luxe
451,510000,Mesnana,150,3,2,50,plus de 5 ans,simple
452,3900000,Ahlane,120,3,2,40,construction neuve,Luxe
453,690000,Casabarata,100,2,1,50,moins de 5 ans,normal
454,460000,Moujahidine,150,3,2,50,plus de 5 ans,simple
455,570000,Mesnana,150,3,2,50,plus de 5 ans,simple
456,3185000,Moulay Youssef,245,3,2,81.66666667,construction neuve,Luxe
457,840000,Drissia,200,3,2,66.66666667,moins de 5 ans,normal
458,1000000,Tanja Balia,108,3,2,36,moins de 5 ans,normal
459,520000,Val Fleuri,100,2,1,50,plus de 5 ans,simple
460,800000,Mesnana,100,2,1,50,moins de 5 ans,normal
461,555000,El Mers 1,93,2,1,46.5,plus de 5 ans,simple
462,3500000,Ben Dibane,167,3,2,55.66666667,construction neuve,Luxe
463,1020000,Malabata,85,2,1,42.5,moins de 5 ans,normal
464,1212000,Malabata,101,3,2,33.66666667,moins de 5 ans,normal
465,560000,Castilla,200,3,2,66.66666667,plus de 5 ans,simple
466,900000,Ahlane,200,3,2,66.66666667,moins de 5 ans,normal
467,3000000,Malabata,155,3,2,51.66666667,construction neuve,Luxe
469,3790000,Malabata,300,4,2,75,construction neuve,Luxe
470,3500000,Castilla,100,2,1,50,construction neuve,Luxe
471,830000,Val Fleuri,83,2,1,41.5,moins de 5 ans,normal
472,4000000,Malabata,136,3,2,45.33333333,construction neuve,Luxe
474,3000000,Ahlane,100,2,1,50,construction neuve,Luxe
475,970000,Val Fleuri,96,2,1,48,moins de 5 ans,normal
476,800000,Moujahidine,102,3,2,34,moins de 5 ans,normal
477,1080000,Malabata,84,2,1,42,moins de 5 ans,normal
479,510000,El Mers 2,81,2,1,40.5,plus de 5 ans,simple
480,1050000,Ahlane,200,3,2,66.66666667,moins de 5 ans,normal
482,300000,Mghogha,64,2,1,32,plus de 5 ans,simple
483,780000,Tanja Balia,200,3,2,66.66666667,moins de 5 ans,normal
484,450000,Tanja Balia,150,3,2,50,plus de 5 ans,simple
485,450000,Moujahidine,150,3,2,50,plus de 5 ans,simple
486,1020000,Malabata,85,2,1,42.5,moins de 5 ans,normal
487,1000000,Mesnana,132,3,2,44,moins de 5 ans,normal
488,1200000,Val Fleuri,200,3,2,66.66666667,moins de 5 ans,normal
490,550000,Val Fleuri,200,3,2,66.66666667,plus de 5 ans,simple
491,750000,Val Fleuri,160,3,2,53.33333333,moins de 5 ans,normal
494,2600000,Achakar,160,3,2,53.33333333,construction neuve,Luxe
495,200000,Drissia,100,2,1,50,plus de 5 ans,simple
496,3800000,Iberie,229,3,2,76.33333333,construction neuve,Luxe
497,450000,Mesnana,100,2,1,50,plus de 5 ans,simple
498,585000,Branes 1,65,2,1,32.5,moins de 5 ans,normal
500,980000,Malabata,82,2,1,41,moins de 5 ans,normal
501,1300000,Casabarata,150,3,2,50,moins de 5 ans,normal
502,1200000,Tanja Balia,90,2,1,45,moins de 5 ans,normal
503,980000,Malabata,82,2,1,41,moins de 5 ans,normal
504,1426000,Malabata,124,3,2,41.33333333,moins de 5 ans,normal
505,1248000,Malabata,104,3,2,34.66666667,moins de 5 ans,normal
