Type de bien,Price,Address,Surface,Nombre de chambres,Nombre de toilettes
Appartement,1080000.0,Malabata,84,2.0,1.0
Appartement,510000.0,El Mers 2,81,2.0,1.0
Appartement,1050000.0,Ahlane,200,3.0,2.0
Appartement,540000.0,Val Fleuri,2,2.0,1.0
Appartement,300000.0,Mghogha,64,2.0,1.0
Appartement,780000.0,Tanja Balia,200,3.0,2.0
Appartement,450000.0,Tanja Balia,150,3.0,2.0
Appartement,450000.0,Moujahidine,150,3.0,2.0
Appartement,1020000.0,Malabata,85,2.0,1.0
Appartement,1000000.0,Mesnana,132,3.0,2.0
Appartement,1200000.0,Val Fleuri,200,3.0,2.0
Studio,550000.0,Tanja Balia,100,1.0,1.0
Appartement,550000.0,Val Fleuri,200,3.0,2.0
Appartement,750000.0,Val Fleuri,160,3.0,2.0
Studio,1200000.0,Malabata,40,1.0,1.0
Appartement,2600000.0,Achakar,160,3.0,2.0
Appartement,200000.0,Drissia,100,2.0,1.0
Appartement,3800000.0,Iberie,229,3.0,2.0
Appartement,450000.0,Mesnana,100,2.0,1.0
Appartement,585000.0,Branes 1,65,2.0,1.0
Appartement,2200000.0,Malabata,2,2.0,1.0
Appartement,980000.0,Malabata,82,2.0,1.0
Appartement,1300000.0,Casabarata,150,3.0,2.0
Appartement,1200000.0,Tanja Balia,90,2.0,1.0
Appartement,980000.0,Malabata,82,2.0,1.0
Appartement,1426000.0,Malabata,124,3.0,2.0
Appartement,1248000.0,Malabata,104,3.0,2.0
Appartement,1391500.0,Malabata,121,3.0,2.0
Appartement,3500000.0,Moujahidine,220,3.0,2.0
Appartement,270000.0,Achakar,50,2.0,1.0
Villa,4000000.0,Achakar,150,3.0,2.0
Appartement,570000.0,Tanja Balia,70,2.0,1.0
Appartement,900000.0,Ahlane,90,2.0,1.0
Appartement,450000.0,Val Fleuri,40,2.0,1.0
Appartement,920000.0,Tanja Balia,80,2.0,1.0
Villa,2000000.0,Achakar,220,4.0,3.0
Appartement,984000.0,Malabata,82,2.0,1.0
Appartement,2400000.0,Moujahidine,161,3.0,2.0
Appartement,870000.0,Tanja Balia,100,2.0,1.0
Villa,3500000.0,Val Fleuri,140,3.0,2.0
Appartement,430000.0,Mghogha,67,2.0,1.0
Appartement,600000.0,Tanja Balia,100,2.0,1.0
Appartement,750000.0,Mesnana,75,2.0,1.0
Appartement,730000.0,Moujahidine,79,2.0,1.0
Appartement,943000.0,Malabata,82,2.0,1.0
Appartement,1104000.0,Malabata,96,2.0,1.0
Appartement,650000.0,Tanja Balia,200,3.0,2.0
Appartement,1100000.0,Tanja Balia,200,3.0,2.0
Appartement,950000.0,Malabata,200,3.0,2.0
Appartement,570000.0,Drissia,51,2.0,1.0
Appartement,560000.0,Val Fleuri,200,3.0,2.0
Appartement,700000.0,Marchane,8,2.0,1.0
Appartement,450000.0,Mghogha,70,2.0,1.0
Appartement,1600000.0,Souani,82,2.0,1.0
Appartement,800000.0,Moujahidine,150,3.0,2.0
Appartement,300000.0,Mesnana,2,2.0,1.0
Appartement,1000000.0,Tanja Balia,200,3.0,2.0
Appartement,630000.0,Moujahidine,100,2.0,1.0
Appartement,1207500.0,Castilla,200,3.0,2.0
Appartement,870000.0,Mesnana,55,2.0,1.0
Appartement,360000.0,Achakar,100,2.0,1.0
Appartement,1176000.0,Malabata,98,2.0,1.0
Appartement,2750000.0,Achakar,155,3.0,2.0
Appartement,600000.0,Val Fleuri,100,2.0,1.0
Appartement,1450000.0,El Mers 2,70,2.0,1.0
Appartement,1450000.0,El Mers 2,70,2.0,1.0
Appartement,420000.0,Mghogha,60,2.0,1.0
