,Surface,Address,Price
356,70,Tanja Balia,546000
357,216,Tanja Balia,1050000
358,615,M'nar,922500
359,70,Tanja Balia,546000
360,216,Tanja Balia,1050000
361,216,Tanja Balia,1050000
362,216,Tanja Balia,1050000
363,70,Tanja Balia,546000
364,216,Tanja Balia,1050000
365,100,Masnana,1000000
366,70,Tanja Balia,546000
367,70,Tanja Balia,546000
368,216,Tanja Balia,1050000
369,84,Tanja Balia,170000
370,1200,Mghogha,7200000
371,70,Tanja Balia,546000
372,216,Tanja Balia,1050000
373,300,Tanja Balia,380000
374,70,Tanja Balia,546000
375,76,Mghogha,912000
376,216,Tanja Balia,1050000
377,216,Tanja Balia,1050000
378,1200,M'nar,2400000
379,216,Tanja Balia,1050000
380,216,Tanja Balia,1050000
381,70,Tanja Balia,546000
382,216,Tanja Balia,1050000
383,7800,Tanja Balia,546000
384,20000,Achakar,25000000
385,70,Tanja Balia,525000
386,216,Tanja Balia,1050000
387,216,Tanja Balia,1050000
388,35000,Mghogha,4200000
389,216,Tanja Balia,1050000
390,290,Ahlane,1450000
391,70,Tanja Balia,525000
392,216,Tanja Balia,1050000
393,280,Ahlane,1120000
394,216,Tanja Balia,1050000
395,216,Tanja Balia,1050000
396,216,Tanja Balia,1050000
397,70,Malabata,290000
398,216,Tanja Balia,1050000
399,216,Tanja Balia,1050000
400,216,Tanja Balia,1050000
401,1500,M'nar,1050000
402,106,M'nar,150000
403,85,Tanja Balia,790000
404,216,Mesnana,1050000
405,216,Tanja Balia,1050000
406,216,Tanja Balia,1050000
407,216,Tanja Balia,1050000
408,216,Tanja Balia,1050000
409,216,Tanja Balia,1050000
410,216,Tanja Balia,1050000
411,107,Tanja Balia,1177000
412,216,Tanja Balia,1050000
413,216,Tanja Balia,1050000
414,216,Tanja Balia,1050000
415,216,Tanja Balia,1050000
416,216,Tanja Balia,1050000
417,216,Tanja Balia,1050000
418,216,Tanja Balia,1050000
419,70,Tanja Balia,546000
420,216,Tanja Balia,1080000
421,216,Tanja Balia,1050000
422,1200,Achakar,2700000
423,70,Tanja Balia,546000
424,5000,Tanja Balia,25000000
425,80,Tanja Balia,160000
426,216,Tanja Balia,1050000
427,216,Tanja Balia,1050000
428,216,Tanja Balia,1050000
429,216,Tanja Balia,1050000
430,216,Tanja Balia,1080000
431,216,Tanja Balia,1080000
432,70,Tanja Balia,546000
433,65,Malabata,162500
434,70,Tanja Balia,560000
435,110,Mghogha,380000
436,216,Tanja Balia,1080000
437,216,Tanja Balia,1080000
438,122,Tanja Balia,1830000
439,98,Mesnana,102000
440,96,Tanja Balia,892800
441,93,Jirrari,1116000
442,77,Mghogha,346500
443,70,Tanja Balia,560000
444,70,Tanja Balia,546000
445,403,Jirrari,2619500
446,450,Ahlane,7425000
447,122,Tanja Balia,1830000
448,70,Tanja Balia,525000
449,1000,Malabata,1500000
450,93,Jirrari,1116000
451,70,Tanja Balia,525000
452,110,Casabarata,1320000
453,40000,Tanja Balia,20000000
454,60,Mghogha,150000
455,200,M'nar,1300000
456,70,Tanja Balia,560000
457,107,Tanja Balia,1498000
458,525000,Tanja Balia,525000
459,70,Tanja Balia,799999
460,70,Tanja Balia,525000
461,537,M'nar,8055000
462,154,Jirrari,249999
463,100,Tanja Balia,830000
464,100,Tanja Balia,150000
465,70,Tanja Balia,560000
466,70,Tanja Balia,525000
467,3500,M'nar,4200000
468,70,Tanja Balia,525000
469,4827,Malabata,5500000
470,70,Tanja Balia,560000
471,100,Tanja Balia,600000
472,84,Tanja Balia,672000
473,70,Tanja Balia,525000
474,400,Achakar,480000
475,12970,Achakar,25940000
476,370,Masnana,2294000
477,6000,Malabata,4800000
478,211,Achakar,611900
479,150,Masnana,1800000
480,80,M'nar,130000
481,100,Ahlane,1150000
482,300,Malabata,800000
483,836,Mesnana,3350000
484,500,Malabata,3400000
485,175,Achakar,550000
486,100,Ahlane,1150000
487,760,M'nar,1250000
488,148,Tanja Balia,1184000
489,350,M'nar,700000
490,90,M'nar,180000
491,200,Malabata,1400000
492,20500,Achakar,18450000
493,1030,Jbel Kbir,5665000
494,100,Tanja Balia,850000
495,500,Achakar,100000
496,50,Mghogha,135000
497,307,Malabata,3561200
498,1500,Achakar,150000
499,120,Ahlane,1320000
500,230,M'nar,1656000
501,146,Branes,1752000
502,84,M'nar,160000
503,105,Tanja Balia,787500
504,1000,Malabata,800000
505,145,M'nar,225000
506,210,Tanja Balia,378000
507,89,Ahlane,1100000
508,248,Achakar,1984000
509,1000,Castilla,900000
510,146,Branes,1752000
511,100,Ahlane,750000
512,1348,M'nar,3370000
513,85,Mesnana,510000
514,292,M'nar,2190000
515,114,Ahlane,1482000
516,84,Tanja Balia,830000
517,290,M'nar,188500
518,240,Achakar,1440000
519,500,Ahlane,680000
520,103,Ahlane,1122700
521,70,Tanja Balia,546000
522,105,Tanja Balia,997500
523,461,Jbel Kbir,3000000
524,16999,Ahlane,580000
525,60,Malabata,240000
526,23277,Souani,600000
527,816,Branes,12648000
528,100,Achakar,180000
529,50,Malabata,100000
530,70,Jirrari,520000
531,100,Masnana,1000000
532,85,Mghogha,250000
533,1000,Mghogha,5800000
534,112,Tanja Balia,1232000
535,70,Tanja Balia,525000
536,608,Achakar,1200000
537,70,Tanja Balia,385000
538,144,Masnana,2088000
539,70,Tanja Balia,595000
540,224,Achakar,672000
541,500,M'nar,200000
542,93,Jirrari,1160000
543,292,M'nar,2190000
544,90,Mghogha,3520000
545,50000,Achakar,3200000
546,135,Jbel Kbir,600000
547,4600,Achakar,8740000
548,103,Mghogha,803400
549,1733,M'nar,519900
550,570,M'nar,2850000
551,22500,Masnana,112500000
552,70,M'nar,160000
553,15000,Achakar,42000000
554,115,Masnana,1265000
555,350,Tanja Balia,270000
556,820,Malabata,13120000
557,150,Ahlane,2712500
558,70,Tanja Balia,455000
559,6341,M'nar,11413800
560,134,Mesnana,2117200
561,1252,Achakar,3630800
562,500,Tanja Balia,195000
563,358,Masnana,2506000
564,1232,Centre ville,1601600
565,110,Ahlane,1430000
566,250,Tanja Balia,3000000
567,100,Tanja Balia,700000
568,120,Mghogha,780000
569,93,Mghogha,558000
570,475,Achakar,475
571,518,Achakar,932400
572,24000,M'nar,42000000
573,1600,Ahlane,20000
574,5000,Centre ville,23000
575,410000,Achakar,328000000
576,216,Tanja Balia,1020000
577,70,Tanja Balia,560000
578,150,Tanja Balia,1800000
579,150,Tanja Balia,1380000
580,1019,M'nar,3566500
581,768,Branes,25000
582,100,Mesnana,1200000
583,55,Casabarata,73000
584,300,Achakar,600000
585,1332,Malabata,1798200
586,83,Centre ville,160000
587,57,Casabarata,370000
588,204,M'nar,1632000
589,2476,Achakar,4952000
590,4000,M'nar,4800000
591,110,Mesnana,1375000
592,144,Tanja Balia,1584000
593,110,Mghogha,770000
594,514,Tanja Balia,1990000
595,2298,M'nar,2987400
596,1015,Achakar,2537500
597,100,Tanja Balia,850000
598,308,Achakar,1909600
599,102,Tanja Balia,836400
600,1900,Mesnana,5130000
601,1700,Benkirane,25500000
602,120000,Mghogha,132000000
603,14000,Mghogha,11200000
604,2900,Mghogha,9570000
605,17000,Malabata,51000000
606,72,Mghogha,612000
607,70,Tanja Balia,560000
608,187,Achakar,411400
609,3000,Achakar,6000000
610,100,Tanja Balia,750000
611,80,Tanja Balia,600000
612,850,M'nar,3825000
613,100,Mghogha,650000
614,1972,M'nar,5916000
615,125,Mesnana,1625000
616,162,Masnana,2349000
617,157,Tanja Balia,2200000
618,578,Ahlane,1329400
619,704,M'nar,985600
620,151,Drissia,5285000
621,93,Mesnana,372000
622,120,Mghogha,900000
623,570,Jbel Kbir,3135000
624,405,Achakar,891000
625,101,Tanja Balia,656500
626,77,Tanja Balia,1309000
627,96,Tanja Balia,720000
628,5244,Centre ville,125000000
629,1840,Mesnana,12880000
630,90,Ahlane,750000
631,72,Tanja Balia,576000
632,100,Tanja Balia,1200000
633,224,Malabata,1700000
634,412,Malabata,3254800
635,5000,Moulay Youssef,22200
636,270,Tanja Balia,2316600
637,500,Achakar,250000
638,37000,M'nar,44400000
639,200,Benkirane,120000
640,119,Masnana,1300000
641,107,Tanja Balia,1284000
642,61,Jirrari,122000
643,141,Masnana,2256000
644,412,Malabata,4326000
645,2000,M'nar,2000
646,55,Mghogha,160000
647,105,Tanja Balia,1260000
648,100,Tanja Balia,750000
649,20000,Achakar,17000000
650,71,Tanja Balia,568000
651,170,Tanja Balia,25000
652,216,Tanja Balia,1050000
653,466,Mesnana,10252000
654,64,Mghogha,140000
655,90,Mghogha,900000
656,132,Tanja Balia,23000
657,420,Centre ville,3990000
658,105,Tanja Balia,1155000
659,134,Ahlane,174200
660,80,Tanja Balia,184000
661,270,Tanja Balia,2295000
662,1255,Mesnana,10667500
663,100,Tanja Balia,700000
664,385,M'nar,770000
665,2391,Mesnana,23910000
666,104,Tanja Balia,1248000
667,216,Tanja Balia,1050000
668,1,Mesnana,6000
669,120,Tanja Balia,840000
670,106,Tanja Balia,424000
671,1000,Centre ville,17000000
672,70,Tanja Balia,560000
673,216,Tanja Balia,1050000
674,140,Malabata,210000
675,144,Tanja Balia,1584000
676,98,Masnana,1274000
677,100,Tanja Balia,269900
678,146,Tanja Balia,1168000
679,3200,Achakar,5600000
680,216,Tanja Balia,1050000
681,70,Tanja Balia,500000
682,216,Tanja Balia,1050000
683,613,Achakar,1348600
684,101,Tanja Balia,1414000
685,100,M'nar,600000
686,70,Tanja Balia,560000
687,3452,Malabata,29000
